"No.","Mac Source","Mac Destination","Mac Transmitter","Mac Receiver","BSSID","Time","Ip Source","Ip Destination","Protocol","Length","Info","Retry","Rate","RSSI","Channel","Data"
"35","54:a2:74:1d:55:f1","ff:ff:ff:ff:ff:ff","54:a2:74:1d:55:f1","ff:ff:ff:ff:ff:ff","54:a2:74:1d:55:f1","1.023143","54:a2:74:1d:55:f1","Broadcast","802.11","295","Beacon frame, SN=1961, FN=0, Flags=........, BI=102, SSID=eduroam","Frame is not being retransmitted","1","-79 dBm","2462 [BG 11]",""
"36","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","1a:69:ce:29:7c:64","1.024204","Cisco-Li_9c:90:c2","Broadcast","802.11","93","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=IPSEC","Frame is not being retransmitted","1","-71 dBm","2462 [BG 11]",""
"37","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","1.031018","Netgear_f4:87:ef","Broadcast","802.11","194","Beacon frame, SN=280, FN=0, Flags=........, BI=100, SSID=wi5-unizar-156","Frame is not being retransmitted","1","-67 dBm","2462 [BG 11]",""
"38","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","1.058484","Cisco-Li_1b:d5:fe","Broadcast","802.11","204","Beacon frame, SN=2409, FN=0, Flags=........, BI=100, SSID=sterne","Frame is not being retransmitted","1","-61 dBm","2462 [BG 11]",""
"39","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","1.067648","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=2388, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-15 dBm","2462 [BG 11]",""
"40","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","00:22:6b:9c:90:c2","ff:ff:ff:ff:ff:ff","1a:69:ce:29:7c:64","1.228585","Cisco-Li_9c:90:c2","Broadcast","802.11","93","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=IPSEC","Frame is not being retransmitted","1","-69 dBm","2462 [BG 11]",""
"41","54:a2:74:4c:8c:e1","ff:ff:ff:ff:ff:ff","54:a2:74:4c:8c:e1","ff:ff:ff:ff:ff:ff","54:a2:74:4c:8c:e1","1.232794","54:a2:74:4c:8c:e1","Broadcast","802.11","295","Beacon frame, SN=3453, FN=0, Flags=........, BI=102, SSID=eduroam","Frame is not being retransmitted","1","-79 dBm","2462 [BG 11]",""
"42","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","1.263293","Cisco-Li_1b:d5:fe","Broadcast","802.11","204","Beacon frame, SN=2411, FN=0, Flags=........, BI=100, SSID=sterne","Frame is not being retransmitted","1","-63 dBm","2462 [BG 11]",""
"43","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","1.272397","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=2394, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-15 dBm","2462 [BG 11]",""
"44","00:22:6b:9c:93:ba","ff:ff:ff:ff:ff:ff","00:22:6b:9c:93:ba","ff:ff:ff:ff:ff:ff","1a:69:ce:29:7c:64","1.433633","Cisco-Li_9c:93:ba","Broadcast","802.11","93","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=IPSEC","Frame is not being retransmitted","1","-71 dBm","2462 [BG 11]",""
"45","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","1.468123","Cisco-Li_1b:d5:fe","Broadcast","802.11","204","Beacon frame, SN=2413, FN=0, Flags=........, BI=100, SSID=sterne","Frame is not being retransmitted","1","-61 dBm","2462 [BG 11]",""
"46","","","00:c0:ca:90:79:29","00:c0:ca:90:79:3e","","1.473911","Alfa_90:79:29 (TA)","Alfa_90:79:3e (RA)","802.11","46","802.11 Block Ack, Flags=........","Frame is not being retransmitted","6","-25 dBm","2462 [BG 11]",""
"47","b8:27:eb:28:b6:0b","2c:56:dc:26:17:77","00:c0:ca:90:79:29","00:c0:ca:90:79:3e","","1.474218","155.210.155.183","155.210.155.182","TCP","101","[TCP Previous segment not captured] http > 58149 [ACK] Seq=2 Ack=544 Win=1310 Len=0","Frame is not being retransmitted","28,9","-25 dBm","2462 [BG 11]",""
"48","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","1.477136","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=2396, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-17 dBm","2462 [BG 11]",""
