"No.","Mac Source","Mac Destination","Mac Transmitter","Mac Receiver","BSSID","Time","Ip Source","Ip Destination","Protocol","Length","Info","Retry","Rate","RSSI","Channel","Data"
"13601","f0:f7:55:f3:c7:c4","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","105.172887","Cisco_f3:c7:c4","Broadcast","ARP","96","Who has 155.210.155.165?  Tell 155.210.155.254","Frame is not being retransmitted","1","-43 dBm","2462 [BG 11]",""
"13602","f0:f7:55:f3:c7:c4","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","105.173759","Cisco_f3:c7:c4","Broadcast","ARP","96","Who has 155.210.155.165?  Tell 155.210.155.254","Frame is not being retransmitted","1","-33 dBm","2462 [BG 11]",""
"13603","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.175716","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-35 dBm","2462 [BG 11]","00000000000016e1"
"13604","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","ff:ff:ff:ff:ff:ff","68:7f:74:1b:d5:fe","105.189448","Cisco-Li_1b:d5:fe","Broadcast","802.11","204","Beacon frame, SN=2484, FN=0, Flags=........, BI=100, SSID=sterne","Frame is not being retransmitted","1","-65 dBm","2462 [BG 11]",""
"13605","84:16:f9:16:61:ee","ff:ff:ff:ff:ff:ff","84:16:f9:16:61:ee","ff:ff:ff:ff:ff:ff","84:16:f9:16:61:ee","105.191180","84:16:f9:16:61:ee","Broadcast","802.11","183","Beacon frame, SN=2282, FN=0, Flags=........, BI=100, SSID=wi5-aux-155","Frame is not being retransmitted","1","-65 dBm","2462 [BG 11]",""
"13606","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","105.192783","Alfa_90:79:29","Broadcast","802.11","187","Beacon frame, SN=101, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-33 dBm","2462 [BG 11]",""
"13607","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.197337","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","65","-33 dBm","2462 [BG 11]","00000000000016e2"
"13608","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","105.203408","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=3913, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-41 dBm","2462 [BG 11]",""
"13609","54:a2:74:4c:8c:e0","ff:ff:ff:ff:ff:ff","54:a2:74:4c:8c:e0","ff:ff:ff:ff:ff:ff","54:a2:74:4c:8c:e0","105.208568","54:a2:74:4c:8c:e0","Broadcast","802.11","236","Beacon frame, SN=3195, FN=0, Flags=........, BI=102, SSID=wiuz","Frame is not being retransmitted","1","-75 dBm","2462 [BG 11]",""
"13610","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.208810","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-33 dBm","2462 [BG 11]","00000000000016e3"
"13611","00:22:6b:9c:93:ba","ff:ff:ff:ff:ff:ff","00:22:6b:9c:93:ba","ff:ff:ff:ff:ff:ff","1a:69:ce:29:7c:64","105.214598","Cisco-Li_9c:93:ba","Broadcast","802.11","93","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=IPSEC","Frame is not being retransmitted","1","-71 dBm","2462 [BG 11]",""
"13612","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.227995","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-31 dBm","2462 [BG 11]","00000000000016e4"
"13613","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.238512","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-29 dBm","2462 [BG 11]","00000000000016e5"
"13614","54:a2:74:4c:8c:e1","ff:ff:ff:ff:ff:ff","54:a2:74:4c:8c:e1","ff:ff:ff:ff:ff:ff","54:a2:74:4c:8c:e1","105.258182","54:a2:74:4c:8c:e1","Broadcast","802.11","295","Beacon frame, SN=3196, FN=0, Flags=........, BI=102, SSID=eduroam","Frame is not being retransmitted","1","-75 dBm","2462 [BG 11]",""
"13615","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.258827","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-29 dBm","2462 [BG 11]","00000000000016e6"
"13616","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","105.267303","Netgear_f4:87:ef","Broadcast","802.11","194","Beacon frame, SN=1067, FN=0, Flags=........, BI=100, SSID=wi5-unizar-156","Frame is not being retransmitted","1","-69 dBm","2462 [BG 11]",""
"13617","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.269292","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-29 dBm","2462 [BG 11]","00000000000016e7"
