"No.","Mac Source","Mac Destination","Mac Transmitter","Mac Receiver","BSSID","Time","Ip Source","Ip Destination","Protocol","Length","Info","Retry","Rate","RSSI","Channel","Data"
"5769","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.167315","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d09"
"5770","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","54.169852","Alfa_90:79:29","Broadcast","802.11","187","Beacon frame, SN=4092, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-21 dBm","2447 [BG 8]",""
"5771","38:2c:4a:65:3a:fc","ff:ff:ff:ff:ff:ff","38:2c:4a:65:3a:fc","ff:ff:ff:ff:ff:ff","38:2c:4a:65:3a:fc","54.183092","38:2c:4a:65:3a:fc","Broadcast","802.11","300","Beacon frame, SN=295, FN=0, Flags=........, BI=100, SSID=DespachoPAS","Frame is not being retransmitted","1","-49 dBm","2447 [BG 8]",""
"5772","38:2c:4a:65:3a:fc","01:80:c2:00:00:00","38:2c:4a:65:3a:fc","01:80:c2:00:00:00","38:2c:4a:65:3a:fc","54.183951","38:2c:4a:65:3a:fc","Spanning-tree-(for-bridges)_00","802.11","96","Data, SN=296, FN=0, Flags=.p....F.","Frame is not being retransmitted","1","-49 dBm","2447 [BG 8]","651f8420b4a4267e4caa94dcbbf332ee620f01247093bc1e..."
"5773","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.187682","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d0a"
"5774","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.198736","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is being retransmitted","39","-25 dBm","2447 [BG 8]","0000000000000d0b"
"5775","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.219499","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d0c"
"5776","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","54.221676","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=216, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-39 dBm","2447 [BG 8]",""
"5777","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.229940","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d0d"
"5778","00:27:0e:08:2b:ab","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","54.250860","155.210.155.110","255.255.255.255","DB-LSP-DISC","296","Dropbox LAN sync Discovery Protocol","Frame is not being retransmitted","1","-23 dBm","2447 [BG 8]",""
"5779","00:27:0e:08:2b:ab","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","54.253332","155.210.155.110","255.255.255.255","DB-LSP-DISC","296","Dropbox LAN sync Discovery Protocol","Frame is not being retransmitted","1","-37 dBm","2447 [BG 8]",""
"5780","00:27:0e:08:2b:ab","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","54.255811","155.210.155.110","155.210.155.255","DB-LSP-DISC","296","Dropbox LAN sync Discovery Protocol","Frame is not being retransmitted","1","-37 dBm","2447 [BG 8]",""
"5781","00:27:0e:08:2b:ab","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","54.258293","155.210.155.110","155.210.155.255","DB-LSP-DISC","296","Dropbox LAN sync Discovery Protocol","Frame is not being retransmitted","1","-21 dBm","2447 [BG 8]",""
"5782","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.258342","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d0e"
"5783","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.260864","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d0f"
"5784","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","54.272348","Alfa_90:79:29","Broadcast","802.11","187","Beacon frame, SN=4095, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-23 dBm","2447 [BG 8]",""
"5785","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.280978","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d10"
"5786","38:2c:4a:65:3a:fc","ff:ff:ff:ff:ff:ff","38:2c:4a:65:3a:fc","ff:ff:ff:ff:ff:ff","38:2c:4a:65:3a:fc","54.285577","38:2c:4a:65:3a:fc","Broadcast","802.11","300","Beacon frame, SN=297, FN=0, Flags=........, BI=100, SSID=DespachoPAS","Frame is not being retransmitted","1","-49 dBm","2447 [BG 8]",""
"5787","f0:f7:55:f3:c7:c4","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","54.289227","Cisco_f3:c7:c4","Broadcast","ARP","96","Who has 155.210.155.38?  Tell 155.210.155.254","Frame is not being retransmitted","1","-39 dBm","2447 [BG 8]",""
"5788","f0:f7:55:f3:c7:c4","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","54.290114","Cisco_f3:c7:c4","Broadcast","ARP","96","Who has 155.210.155.38?  Tell 155.210.155.254","Frame is not being retransmitted","1","-21 dBm","2447 [BG 8]",""
"5789","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.291093","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d11"
"5790","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.311450","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d12"
"5791","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","54.324083","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=220, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-37 dBm","2447 [BG 8]",""
"5792","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.324120","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d13"
"5793","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.342962","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d14"
"5794","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.353207","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d15"
"5795","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","54.374695","Alfa_90:79:29","Broadcast","802.11","187","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-21 dBm","2447 [BG 8]",""
"5796","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","54.374737","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d16"
